Curso,Prioritarias,NMO,Peso3,Peso2,Peso1
Engenharia de Transportes (Noturno) (G),MAT; FIS,400,MAT; FIS,LPL; INTER; QUI,-
Engenharia Elétrica (Integral),MAT; FIS,450,MAT; FIS,LPL,QUI; INTER
Engenharia Elétrica (Noturno),MAT; FIS,450,MAT; FIS,LPL,QUI; INTER
Engenharia Mecânica (Integral),MAT; FIS,500,LPL; MAT; FIS,QUI,INTER
Engenharia Química (Integral) ,MAT; FIS,450,LPL; MAT; FIS,QUI,INTER
Engenharia Química (Noturno) ,MAT; FIS,450,LPL; MAT; FIS,QUI,INTER
Estatística (Integral),LPL; MAT,500,LPL; MAT,-,FIS; QUI; INTER
Geologia (Integral),MAT; QUI,450,LPL; MAT; FIS; QUI,-,INTER
Licenciatura em Física (Noturno),MAT; FIS,400,MAT; FIS,LPL; QUI,INTER
Licenciatura em Matemática (Noturno),MAT; FIS,450,MAT; FIS,LPL,QUI; INTER
Licenciatura Integrada Química/Física (Noturno),LPL; MAT,400,-,LPL; MAT; INTER,QUI; FIS
Química (Integral),QUI,450,LPL; MAT; FIS; QUI,-,INTER
Química Tecnológica (Noturno),QUI,450,LPL; MAT; FIS; QUI,-,INTER
Sistemas de Informação (Integral) (G),LPL; MAT,400,-,LPL; MAT,INTER; FIS; QUI
Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno) (G),LPL; MAT,350,-,LPL; MAT,INTER; FIS; QUI
Tecnologia em Saneamento Ambiental (Noturno) (G),LPL; MAT,350,LPL; MAT; QUI,FIS,"INTER
"
